doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
academic-regulations-undergraduate,data\university-policy-crawl\academic-regulations-undergraduate.md,Academic Regulations for Full-Time Undergraduate Programs,https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,2026-09-19,VU_HT03.EN,public-source
course-registration-hub,data\university-policy-crawl\course-registration-hub.md,Class Schedule & Course Registration,https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,2026-09-19,not-stated,public-source
exams-and-grades,data\university-policy-crawl\exams-and-grades.md,Exams & Grades,https://registrar.vinuni.edu.vn/academics/exams-grades/,2026-09-19,not-stated,public-source
financial-regulations-and-tariff,data\university-policy-crawl\financial-regulations-and-tariff.md,Financial Regulations and Tariff (for student),https://policy.vinuni.edu.vn/all-policies/financial-regulations-and-tariff-for-student-2/,2026-09-19,VUNI_TS03_Student,public-source
library-access-services,data\university-policy-crawl\library-access-services.md,Library Access & Services Policy,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0,public-source
residential-life-guideline,data\university-policy-crawl\residential-life-guideline.md,Residential Life Guideline,https://policy.vinuni.edu.vn/all-policies/residential-life-guideline/,2026-09-19,GDL-SAM-008-V5.0,public-source
student-academic-accommodation,data\university-policy-crawl\student-academic-accommodation.md,Guidelines on Student Academic Accommodation,https://policy.vinuni.edu.vn/all-policies/guidelines-on-student-academic-accomodation/,2026-09-19,GDL-SAM-010-V1.0,public-source
student-advising-framework,data\university-policy-crawl\student-advising-framework.md,Student Advising Framework,https://policy.vinuni.edu.vn/all-policies/student-advising-framework/,2026-09-19,FW-SAM-001-V2.0,public-source
student-code-of-conduct,data\university-policy-crawl\student-code-of-conduct.md,Student Code of Conduct,https://policy.vinuni.edu.vn/all-policies/student-affairs-regulations-code-of-conduct/,2026-09-19,VU_CTSV02.EN,public-source
tuition-fee-financial-aids,data\university-policy-crawl\tuition-fee-financial-aids.md,Tuition Fee and Financial Aids,https://admissions.vinuni.edu.vn/tuition-fee-and-financial-support/,2026-09-19,2024-2025,public-source
