url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://policy.vinuni.edu.vn/all-policies/financial-regulations-and-tariff-for-student-2 ,financial-regulations-and-tariff,Financial Regulations and Tariff (for student),student,finance,tuition,en,VUNI_TS03_Student,public-source
https://policy.vinuni.edu.vn/all-policies/residential-life-guideline , residential-life-guideline , Residential Life Guideline,student,student-affairs,residential,en,GDL-SAM-008-V5.0,public-source
https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs ,academic-regulations-undergraduate,Academic Regulations for Full-Time Undergraduate Programs,student,registrar,academic,en,VU_HT03.EN,public-source
https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration ,course-registration-hub,Class Schedule & Course Registration,student,registrar,registration,en,not-stated,public-source
https://registrar.vinuni.edu.vn/academics/exams-grades ,exams-and-grades,Exams & Grades,student,registrar,grading,en,not-stated,public-source
https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/ ,library-access-services,Library Access & Services Policy,all,library,library,en,POL-LLR-001-V4.0,public-source
https://policy.vinuni.edu.vn/all-policies/student-affairs-regulations-code-of-conduct ,student-code-of-conduct,Student Code of Conduct,all,student-affairs,conduct,en,VU_CTSV02.EN,public-source
https://admissions.vinuni.edu.vn/tuition-fee-and-financial-support ,tuition-fee-financial-aids,Tuition Fee and Financial Aids,student,admissions,tuition,en,2024-2025,public-source
https://policy.vinuni.edu.vn/all-policies/guidelines-on-student-academic-accomodation ,student-academic-accommodation,Guidelines on Student Academic Accommodation,student,student-affairs,academic-support,en,GDL-SAM-010-V1.0,public-source
https://policy.vinuni.edu.vn/all-policies/student-advising-framework ,student-advising-framework,Student Advising Framework,student,student-affairs,advising,en,FW-SAM-001-V2.0,public-source
